Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Brunswick,15/195 Brunswick Rd,2,u,570000,S,Nelson,4/3/2017,5.2,3056,,,,,,,Moreland City Council,,,Northern Metropolitan,11918
Footscray,707/250 Barkly St,2,u,,SN,Barry,26/07/2016,6.4,3011,2,1,1,0,,,Maribyrnong City Council,-37.7992,144.8961,Western Metropolitan,7570
Elsternwick,8 Prentice St,3,h,2100000,VB,Biggin,3/3/2018,7.2,3185,3,2,1,346,180,1890,Glen Eira City Council,-37.88319,145.01142,Southern Metropolitan,4898
West Footscray,8/102 Cross St,2,u,480000,SP,Jas,3/6/2017,6.4,3012,2,1,1,1157,,,Maribyrnong City Council,-37.80029,144.87859,Western Metropolitan,5058
South Yarra,6/176 Walsh St,2,u,680000,S,Jellis,4/3/2017,3.3,3141,2,1,1,0,,,Melbourne City Council,-37.8338,144.9858,Southern Metropolitan,14887
Coburg,45 Portland St,3,h,1000000,VB,Jellis,4/3/2017,7.8,3058,3,2,3,370,110,1920,Darebin City Council,-37.744,144.9501,Northern Metropolitan,11204
Fawkner,8 Baird St,2,h,761000,S,Ray,24/06/2017,13.1,3060,2,1,2,665,30,,Hume City Council,-37.70673,144.97108,Northern Metropolitan,5070
Sunshine,74 Hertford Rd,2,h,965000,S,Barry,26/08/2017,10.5,3020,2,1,1,,,,Brimbank City Council,-37.78227,144.84038,Western Metropolitan,3755
Springvale,15 Phillip Av,3,h,721000,S,Hall,24/06/2017,20.8,3171,,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,7412
Middle Park,150 Page St,3,h,1750000,VB,Greg,27/05/2017,3,3206,3,2,0,138,155,1885,Port Phillip City Council,-37.84962,144.95856,Southern Metropolitan,2019
Glenroy,14 William St,3,h,501000,SP,Raine,28/05/2016,13,3046,3,1,1,348,,,Moreland City Council,-37.7119,144.9111,Northern Metropolitan,8870
Heidelberg Heights,1 Dennis St,3,h,,S,Barry,24/06/2017,8.8,3081,3,1,1,650,,,Banyule City Council,-37.74142,145.05535,Eastern Metropolitan,2947
